trade_weth,exec_price_weth_per_usdc,slippage_frac,unfilled_raw1
0.1,0.00033913792412303655,-4.820476406027138e-07,0.0
0.2,0.0003391377606652738,-9.640276030661392e-07,0.0
0.5,0.0003391372701349168,-2.410430631602014e-06,0.0
1.0,0.0003391364526489248,-4.820911854049368e-06,0.0
2.0,0.0003391348176975426,-9.641813551598427e-06,0.0
5.0,0.00033912991283966234,-2.4104529653208433e-05,0.0
10.0,0.00033912173807550957,-4.820905949391706e-05,0.0
20.0,0.0003391053885489711,-9.641811396497085e-05,0.0
50.0,0.0003390563399664105,-0.00024104528606212462,0.0
100.0,0.0003389685197923764,-0.0004999963660031266,0.0
200.0,0.0003380355070350219,-0.003251125747981013,0.0
500.0,0.0003344289523614693,-0.013885598269293625,0.0
1000.0,0.0003293426864290899,-0.02888322347947708,0.0
